"행정구역별",2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020
"행정구역별",독거노인가구비율<br>(A÷B×100) (%),독거노인가구비율<br>(A÷B×100) (%),65세이상 1인가구<br>(A) (가구),65세이상 1인가구<br>(A) (가구),전체 일반가구<br>(B) (가구),전체 일반가구<br>(B) (가구),독거노인가구비율<br>(A÷B×100) (%),독거노인가구비율<br>(A÷B×100) (%),65세이상 1인가구<br>(A) (가구),65세이상 1인가구<br>(A) (가구),전체 일반가구<br>(B) (가구),전체 일반가구<br>(B) (가구),독거노인가구비율<br>(A÷B×100) (%),독거노인가구비율<br>(A÷B×100) (%),65세이상 1인가구<br>(A) (가구),65세이상 1인가구<br>(A) (가구),전체 일반가구<br>(B) (가구),전체 일반가구<br>(B) (가구),독거노인가구비율<br>(A÷B×100) (%),독거노인가구비율<br>(A÷B×100) (%),65세이상 1인가구<br>(A) (가구),65세이상 1인가구<br>(A) (가구),전체 일반가구<br>(B) (가구),전체 일반가구<br>(B) (가구),독거노인가구비율<br>(A÷B×100) (%),독거노인가구비율<br>(A÷B×100) (%),65세이상 1인가구<br>(A) (가구),65세이상 1인가구<br>(A) (가구),전체 일반가구<br>(B) (가구),전체 일반가구<br>(B) (가구)
"행정구역별",원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률)
"강북구",7.6,0.4 (5.6),9502,453 (5.0),125580,-86 (-0.1),8.1,0.5 (6.6),10255,753 (7.9),127281,1701 (1.4),8.5,0.4 (4.9),10854,599 (5.8),127551,270 (0.2),9.1,0.6 (7.1),11631,777 (7.2),128012,461 (0.4),9.8,0.7 (7.7),12704,1073 (9.2),129805,1793 (1.4)
"도봉구",6.4,0.6 (10.3),8044,763 (10.5),125384,403 (0.3),6.8,0.4 (6.3),8520,476 (5.9),125974,590 (0.5),7.2,0.4 (5.9),9097,577 (6.8),126286,312 (0.2),7.8,0.6 (8.3),9858,761 (8.4),126831,545 (0.4),8.4,0.6 (7.7),10706,848 (8.6),127362,531 (0.4)
"노원구",6.4,0.4 (6.7),13004,764 (6.2),204606,-230 (-0.1),6.9,0.5 (7.8),14029,1025 (7.9),202955,-1651 (-0.8),7.4,0.5 (7.2),15020,991 (7.1),202326,-629 (-0.3),8.1,0.7 (9.5),16299,1279 (8.5),201458,-868 (-0.4),8.8,0.7 (8.6),17738,1439 (8.8),202695,1237 (0.6)
"은평구",5.8,0.4 (7.4),10331,563 (5.8),178775,-977 (-0.5),6.2,0.4 (6.9),11068,737 (7.1),179641,866 (0.5),6.5,0.3 (4.8),11731,663 (6.0),181338,1697 (0.9),6.9,0.4 (6.2),12673,942 (8.0),184890,3552 (2.0),7.4,0.5 (7.2),14020,1347 (10.6),190631,5741 (3.1)
"서대문구",5.7,0 (0.0),7219,367 (5.4),126581,5547 (4.6),6.0,0.3 (5.3),7570,351 (4.9),126672,91 (0.1),6.2,0.2 (3.3),7845,275 (3.6),127197,525 (0.4),6.5,0.3 (4.8),8338,493 (6.3),128635,1438 (1.1),6.7,0.2 (3.1),8899,561 (6.7),133112,4477 (3.5)
"마포구",4.5,0.1 (2.3),6946,165 (2.4),153610,-1371 (-0.9),4.8,0.3 (6.7),7278,332 (4.8),152814,-796 (-0.5),4.9,0.1 (2.1),7590,312 (4.3),154940,2126 (1.4),5.1,0.2 (4.1),7948,358 (4.7),156885,1945 (1.3),5.3,0.2 (3.9),8569,621 (7.8),160681,3796 (2.4)
"양천구",4.8,0.4 (9.1),7847,572 (7.9),163253,-570 (-0.3),5.1,0.3 (6.3),8282,435 (5.5),162045,-1208 (-0.7),5.5,0.4 (7.8),8950,668 (8.1),162039,-6 (-0.0),6.0,0.5 (9.1),9745,795 (8.9),162867,828 (0.5),6.5,0.5 (8.3),10847,1102 (11.3),166044,3177 (2.0)
"강서구",5.2,0.4 (8.3),11469,1079 (10.4),222652,5016 (2.3),5.4,0.2 (3.8),12557,1088 (9.5),231739,9087 (4.1),5.7,0.3 (5.6),13487,930 (7.4),235754,4015 (1.7),6.2,0.5 (8.8),14836,1349 (10.0),240135,4381 (1.9),6.7,0.5 (8.1),16294,1458 (9.8),244097,3962 (1.6)
"구로구",5.0,0.4 (8.7),7759,531 (7.3),156671,143 (0.1),5.4,0.4 (8.0),8366,607 (7.8),156110,-561 (-0.4),5.7,0.3 (5.6),8961,595 (7.1),156235,125 (0.1),6.1,0.4 (7.0),9795,834 (9.3),160378,4143 (2.7),6.6,0.5 (8.2),10819,1024 (10.5),164083,3705 (2.3)
"금천구",6.2,0.5 (8.8),5777,425 (7.9),93402,-41 (-0.0),6.3,0.1 (1.6),6042,265 (4.6),95331,1929 (2.1),6.7,0.4 (6.3),6407,365 (6.0),96298,967 (1.0),7.0,0.3 (4.5),6913,506 (7.9),99315,3017 (3.1),7.4,0.4 (5.7),7619,706 (10.2),103432,4117 (4.1)
